1997 | UNITED ST0 | MFGR#141 | 6752336
1998 | UNITED ST4 | MFGR#1423 | 3166107
1998 | UNITED ST4 | MFGR#1424 | 14226462
1998 | UNITED ST4 | MFGR#1425 | 735989
1998 | UNITED ST4 | MFGR#1426 | 17420352
1998 | UNITED ST4 | MFGR#1427 | 7394937
1998 | UNITED ST4 | MFGR#1428 | 3494448
1998 | UNITED ST4 | MFGR#1429 | 10036145
1998 | UNITED ST4 | MFGR#143 | 2985179
1998 | UNITED ST4 | MFGR#1430 | 14275500
1998 | UNITED ST4 | MFGR#1431 | 6774864
1998 | UNITED ST4 | MFGR#1432 | 6036693
1998 | UNITED ST4 | MFGR#1434 | 11171683
1998 | UNITED ST4 | MFGR#1435 | 4200787
1998 | UNITED ST4 | MFGR#1437 | 4626894
1998 | UNITED ST4 | MFGR#1438 | 5934500
1998 | UNITED ST4 | MFGR#1439 | 5255923
1998 | UNITED ST4 | MFGR#144 | -93452
1998 | UNITED ST4 | MFGR#1440 | 57925
1998 | UNITED ST4 | MFGR#145 | 8688550
1998 | UNITED ST4 | MFGR#146 | 3429170
1998 | UNITED ST4 | MFGR#147 | 1832854
1998 | UNITED ST4 | MFGR#148 | 8502201
1998 | UNITED ST5 | MFGR#141 | 4205257
1998 | UNITED ST5 | MFGR#1411 | 7095008
1998 | UNITED ST5 | MFGR#1412 | 4967885
1998 | UNITED ST5 | MFGR#1413 | 4962558
1998 | UNITED ST5 | MFGR#1414 | 3424867
1998 | UNITED ST5 | MFGR#1416 | 1290556
1998 | UNITED ST5 | MFGR#1417 | -94594
1998 | UNITED ST5 | MFGR#1418 | 752463
1998 | UNITED ST5 | MFGR#1419 | -111471
1998 | UNITED ST5 | MFGR#142 | 5339008
1998 | UNITED ST5 | MFGR#1420 | 4475085
1998 | UNITED ST5 | MFGR#1421 | 33527310
1998 | UNITED ST5 | MFGR#1422 | 4377323
1998 | UNITED ST5 | MFGR#1423 | 8379375
1998 | UNITED ST5 | MFGR#1424 | 3446340
1998 | UNITED ST5 | MFGR#1425 | 3395053
1998 | UNITED ST5 | MFGR#1426 | 10496397
1998 | UNITED ST5 | MFGR#1427 | 13663278
1998 | UNITED ST5 | MFGR#1428 | 9594705
1998 | UNITED ST5 | MFGR#1429 | 10930529
1998 | UNITED ST5 | MFGR#143 | 941394
1998 | UNITED ST5 | MFGR#1430 | -22622
1998 | UNITED ST5 | MFGR#1431 | 3693049
1998 | UNITED ST5 | MFGR#1432 | 6793307
1998 | UNITED ST5 | MFGR#1433 | 8270385
1998 | UNITED ST5 | MFGR#1434 | 4854661
1998 | UNITED ST5 | MFGR#1435 | 3050998
1998 | UNITED ST5 | MFGR#1436 | 3537045
1998 | UNITED ST5 | MFGR#1439 | 6355800
1998 | UNITED ST5 | MFGR#144 | 6008402
1998 | UNITED ST5 | MFGR#145 | 10575298
1998 | UNITED ST5 | MFGR#146 | 3983027
1998 | UNITED ST5 | MFGR#148 | 12043346
1998 | UNITED ST5 | MFGR#149 | 11251198
1998 | UNITED ST6 | MFGR#141 | 5829643
1998 | UNITED ST6 | MFGR#1410 | 221995
1998 | UNITED ST6 | MFGR#1411 | 8731216
1998 | UNITED ST6 | MFGR#1413 | 5826435
1998 | UNITED ST6 | MFGR#1414 | 7835395
1998 | UNITED ST6 | MFGR#1415 | 10037054
1998 | UNITED ST6 | MFGR#1416 | 8442874
1998 | UNITED ST6 | MFGR#1417 | 12471177
1998 | UNITED ST6 | MFGR#1418 | 6500789
1998 | UNITED ST6 | MFGR#1419 | 14147416
1998 | UNITED ST6 | MFGR#142 | 9307398
1998 | UNITED ST6 | MFGR#1421 | 10181806
1998 | UNITED ST6 | MFGR#1423 | -75620
1998 | UNITED ST6 | MFGR#1424 | 4274225
1998 | UNITED ST6 | MFGR#1425 | -109794
1998 | UNITED ST6 | MFGR#1426 | 4580976
1998 | UNITED ST6 | MFGR#1427 | 12966141
1998 | UNITED ST6 | MFGR#1428 | 227898
1998 | UNITED ST6 | MFGR#1429 | 1650539
1998 | UNITED ST6 | MFGR#1430 | 1194048
1998 | UNITED ST6 | MFGR#1431 | 11155969
1998 | UNITED ST6 | MFGR#1432 | 5863338
1998 | UNITED ST6 | MFGR#1433 | 5686193
1998 | UNITED ST6 | MFGR#1434 | 9578111
1998 | UNITED ST6 | MFGR#1435 | 4135740
1998 | UNITED ST6 | MFGR#1436 | 7889298
1998 | UNITED ST6 | MFGR#1438 | 1418720
1998 | UNITED ST6 | MFGR#1439 | 508536
1998 | UNITED ST6 | MFGR#1440 | 7275674
1998 | UNITED ST6 | MFGR#145 | 14553275
1998 | UNITED ST6 | MFGR#146 | 10841123
1998 | UNITED ST6 | MFGR#147 | 4698926
1998 | UNITED ST6 | MFGR#148 | 10483884
1998 | UNITED ST6 | MFGR#149 | 4384899
1998 | UNITED ST7 | MFGR#141 | 4154583
1998 | UNITED ST7 | MFGR#1410 | 16560452
1998 | UNITED ST7 | MFGR#1411 | 3465588
1998 | UNITED ST7 | MFGR#1412 | 8873367
1998 | UNITED ST7 | MFGR#1413 | 5976862
1998 | UNITED ST7 | MFGR#1414 | -86183
1998 | UNITED ST7 | MFGR#1415 | 23440906
1998 | UNITED ST7 | MFGR#1416 | 4623913
1998 | UNITED ST7 | MFGR#1417 | 4666477
1998 | UNITED ST7 | MFGR#1418 | 3584101
1998 | UNITED ST7 | MFGR#1419 | 7120170
1998 | UNITED ST7 | MFGR#142 | 3648292
1998 | UNITED ST7 | MFGR#1420 | 4147485
1998 | UNITED ST7 | MFGR#1421 | 5378010
1998 | UNITED ST7 | MFGR#1422 | -106489
1998 | UNITED ST7 | MFGR#1423 | 1109036
1998 | UNITED ST7 | MFGR#1424 | 3611731
1998 | UNITED ST7 | MFGR#1425 | 4191250
1998 | UNITED ST7 | MFGR#1426 | 9932619
1998 | UNITED ST7 | MFGR#1427 | 3135993
1998 | UNITED ST7 | MFGR#1428 | 12713745
1998 | UNITED ST7 | MFGR#1429 | 2805189
1998 | UNITED ST7 | MFGR#143 | 7509351
1998 | UNITED ST7 | MFGR#1430 | 2568823
1998 | UNITED ST7 | MFGR#1431 | 6771043
1998 | UNITED ST7 | MFGR#1432 | 7718650
1998 | UNITED ST7 | MFGR#1434 | 10262311
1998 | UNITED ST7 | MFGR#1435 | 8615675
1998 | UNITED ST7 | MFGR#1436 | 13092768
1998 | UNITED ST7 | MFGR#1437 | 4093916
1998 | UNITED ST7 | MFGR#1438 | 10151448
1998 | UNITED ST7 | MFGR#1439 | 3511717
1998 | UNITED ST7 | MFGR#1440 | 3582763
1998 | UNITED ST7 | MFGR#145 | 4824414
1998 | UNITED ST7 | MFGR#146 | 5536055
1998 | UNITED ST7 | MFGR#147 | 2810563
1998 | UNITED ST7 | MFGR#148 | 11009969
1998 | UNITED ST7 | MFGR#149 | 4914272
1998 | UNITED ST8 | MFGR#141 | 1668537
1998 | UNITED ST8 | MFGR#1410 | 3209357
1998 | UNITED ST8 | MFGR#1411 | 10176951
1998 | UNITED ST8 | MFGR#1412 | 15755541
1998 | UNITED ST8 | MFGR#1414 | 8744592
1998 | UNITED ST8 | MFGR#1415 | -56701
1998 | UNITED ST8 | MFGR#1416 | 11863971
1998 | UNITED ST8 | MFGR#1417 | 9412095
1998 | UNITED ST8 | MFGR#1418 | 4170823
1998 | UNITED ST8 | MFGR#1419 | 4365135
1998 | UNITED ST8 | MFGR#142 | 836534
1998 | UNITED ST8 | MFGR#1420 | 6011568
1998 | UNITED ST8 | MFGR#1421 | 6905581
1998 | UNITED ST8 | MFGR#1422 | 6223500
1998 | UNITED ST8 | MFGR#1424 | 1720305
1998 | UNITED ST8 | MFGR#1425 | 5951520
1998 | UNITED ST8 | MFGR#1426 | 15283878
1998 | UNITED ST8 | MFGR#1427 | 13342390
1998 | UNITED ST8 | MFGR#1428 | 3033774
1998 | UNITED ST8 | MFGR#1429 | 6404264
1998 | UNITED ST8 | MFGR#143 | 9109248
1998 | UNITED ST8 | MFGR#1430 | 10439431
1998 | UNITED ST8 | MFGR#1431 | 6618718
1998 | UNITED ST8 | MFGR#1433 | 6748671
1998 | UNITED ST8 | MFGR#1435 | 8287936
1998 | UNITED ST8 | MFGR#1436 | 6081172
1998 | UNITED ST8 | MFGR#1437 | 14801855
1998 | UNITED ST8 | MFGR#1438 | 3044811
1998 | UNITED ST8 | MFGR#144 | 164513
1998 | UNITED ST8 | MFGR#1440 | 566988
1998 | UNITED ST8 | MFGR#145 | 11594566
1998 | UNITED ST8 | MFGR#146 | 9441891
1998 | UNITED ST8 | MFGR#147 | 11636865
1998 | UNITED ST8 | MFGR#149 | 10234175
1998 | UNITED ST9 | MFGR#141 | 3095198
1998 | UNITED ST9 | MFGR#1413 | 904008
1998 | UNITED ST9 | MFGR#1414 | 38048
1998 | UNITED ST9 | MFGR#1415 | 6647897
1998 | UNITED ST9 | MFGR#1416 | 2661167
1998 | UNITED ST9 | MFGR#1417 | 5795848
1998 | UNITED ST9 | MFGR#1419 | 10347535
1998 | UNITED ST9 | MFGR#142 | 7699115
1998 | UNITED ST9 | MFGR#1420 | 4906032
1998 | UNITED ST9 | MFGR#1422 | 4501753
1998 | UNITED ST9 | MFGR#1423 | -59461
1998 | UNITED ST9 | MFGR#1424 | 18545776
1998 | UNITED ST9 | MFGR#1425 | 2515352
1998 | UNITED ST9 | MFGR#1427 | 6774268
1998 | UNITED ST9 | MFGR#1428 | 6312427
1998 | UNITED ST9 | MFGR#1429 | 4356818
1998 | UNITED ST9 | MFGR#143 | 6394459
1998 | UNITED ST9 | MFGR#1430 | 7876803
1998 | UNITED ST9 | MFGR#1431 | -179934
1998 | UNITED ST9 | MFGR#1432 | 5510567
1998 | UNITED ST9 | MFGR#1433 | 2921235
1998 | UNITED ST9 | MFGR#1434 | 11790404
1998 | UNITED ST9 | MFGR#1435 | 1885201
1998 | UNITED ST9 | MFGR#1436 | 8771900
1998 | UNITED ST9 | MFGR#1437 | 618347
1998 | UNITED ST9 | MFGR#1438 | 3576996
1998 | UNITED ST9 | MFGR#1439 | 5469538
1998 | UNITED ST9 | MFGR#1440 | 220339
1998 | UNITED ST9 | MFGR#145 | 12999713
1998 | UNITED ST9 | MFGR#146 | 4893183
1998 | UNITED ST9 | MFGR#147 | 49853
1998 | UNITED ST9 | MFGR#148 | 4439343
1998 | UNITED ST9 | MFGR#149 | 9279655
